Word,Tokenization
 frighten,Ġfright en
 situate,Ġsit uate
 underlie,Ġunder lie
 accustom,Ġacc ustom
 advertiser,Ġadvertis er
 airfare,Ġair fare
 amenity,Ġamen ity
 anyhow,Ġany how
 appetizer,Ġappet izer
 apprehensive,Ġapprehens ive
 attendee,Ġattend ee
 auditorium,Ġauditor ium
 ballroom,Ġball room
 boardroom,Ġboard room
 bookcase,Ġbook case
 briefcase,Ġbrief case
 brochure,Ġbroch ure
 businessperson,Ġbusiness person
 by-law,Ġby - law
 caf�,Ġcaf ï¿½
 carpenter,Ġcar penter
 carton,Ġcart on
 cashier,Ġcash ier
 caterer,Ġc ate rer
 centimeter,Ġcent imeter
 chairperson,Ġchair person
 checkup,Ġcheck up
 cheeseburger,Ġchees eb urger
 clap,Ġcl ap
 cleanliness,Ġclean liness
 concierge,Ġconc ier ge
 conditioner,Ġcondition er
 condominium,Ġcond ominium
 congratulation,Ġcongrat ulation
 considerate,Ġconsider ate
 consignment,Ġcons ignment
 cookbook,Ġcook book
 copier,Ġcop ier
 cordless,Ġcord less
 coworker,Ġcowork er
 decorate,Ġdecor ate
 deluxe,Ġdel uxe
 demolish,Ġdemol ish
 departmental,Ġdepartment al
 dependable,Ġdepend able
 deteriorate,Ġdeterior ate
 devastate,Ġdevast ate
 dine,Ġd ine
 discontinue,Ġdiscontin ue
 dishwasher,Ġdish washer
 dissatisfy,Ġdissatisf y
 distractor,Ġdistract or
 donut,Ġdon ut
 doorman,Ġdo orman
 downsize,Ġdown size
 e-book,Ġe - book
 economize,Ġeconom ize
 electrician,Ġelectric ian
 enclose,Ġencl ose
 entr�e,Ġentr ï¿½ e
 escalator,Ġescal ator
 excursion,Ġexc ursion
 expedite,Ġexped ite
 extinguisher,Ġextingu isher
 familiarize,Ġfamiliar ize
 fasten,Ġfast en
 finalize,Ġfinal ize
 firework,Ġfire work
 flextime,Ġfle xt ime
 fluctuate,Ġfluct uate
 foreman,Ġfore man
 freighter,Ġfre ighter
 frustrate,Ġfrust rate
 fundraise,Ġfundra ise
 gardener,Ġgard ener
 getaway,Ġget away
 gymnasium,Ġgym nas ium
 hamburger,Ġhamb urger
 handbook,Ġhand book
 hardworking,Ġhard working
 healthful,Ġhealth ful
 hiker,Ġh iker
 housekeep,Ġhouse keep
 housekeeper,Ġhouse keeper
 ice cream,Ġice Ġcream
 illogical,Ġill ogical
 inexperience,Ġinexper ience
 inflate,Ġinf late
 intently,Ġint ently
 intonation,Ġint on ation
 irritate,Ġirrit ate
 itinerary,Ġitiner ary
 kilogram,Ġkil ogram
 layoff,Ġlay off
 letterhead,Ġletter head
 librarian,Ġl ibrarian
 lifeguard,Ġlife guard
 luncheon,Ġlun cheon
 lunchtime,Ġlunch time
 ma'am,Ġma ' am
 misidentify,Ġmis ident ify
 misplace,Ġmis place
 mister,Ġm ister
 mower,Ġm ower
 newsstand,Ġnews stand
 obligate,Ġoblig ate
 oblige,Ġoblig e
 o'clock,Ġo ' clock
 outdate,Ġout date
 overcharge,Ġover charge
 overpay,Ġover pay
 paralegal,Ġpar ale gal
 paraphrase,Ġparaph rase
 penalize,Ġpenal ize
 periodical,Ġperiod ical
 personalize,Ġpersonal ize
 pharmacist,Ġpharm acist
 photocopier,Ġphotoc op ier
 photocopy,Ġphotoc opy
 plow,Ġpl ow
 plumber,Ġpl umber
 pollute,Ġpoll ute
 postcard,Ġpost card
 pottery,Ġpot tery
 proofread,Ġproof read
 publicize,Ġpublic ize
 punctual,Ġpunct ual
 purser,Ġpur ser
 raincoat,Ġrain coat
 realtor,Ġreal tor
 rearrange,Ġrearr ange
 receptionist,Ġreception ist
 recruiter,Ġrecru iter
 recur,Ġrec ur
 redecorate,Ġred ec orate
 reflexive,Ġreflex ive
 refreshment,Ġrefresh ment
 refundable,Ġrefund able
 rehearse,Ġrehe arse
 remodel,Ġremod el
 renovate,Ġrenov ate
 renter,Ġren ter
 repairperson,Ġrepair person
 reschedule,Ġres che dule
 restatement,Ġrest at ement
 r�sum�,Ġr ï¿½ sum ï¿½
 revolutionize,Ġrevolution ize
 salespeople,Ġsales people
 salesperson,Ġsales person
 sauna,Ġsa una
 seaside,Ġseas ide
 shopper,Ġsho pper
 showroom,Ġshow room
 sightsee,Ġsight see
 skateboard,Ġskate board
 stapler,Ġst a pler
 stationery,Ġstation ery
 stockbroker,Ġstock bro ker
 stockholder,Ġstock holder
 storeroom,Ġstore room
 streamline,Ġstream line
 subsidize,Ġsubsid ize
 supervise,Ġsuperv ise
 tablecloth,Ġtable cloth
 taker,Ġt aker
 telecommunication,Ġtele communication
 teller,Ġtell er
 thunderstorm,Ġthunder storm
 toiletry,Ġtoilet ry
 toner,Ġton er
 trainee,Ġtrain ee
 unattended,Ġunatt ended
 unauthorize,Ġun author ize
 underline,Ġunder line
 unload,Ġun load
 unplug,Ġun plug
 vacate,Ġvac ate
 vase,Ġv ase
 videoconference,Ġvide ocon ference
 walkway,Ġwalk way
 windy,Ġwind y
 workbook,Ġwork book
 wrinkle,Ġwr inkle
 wristwatch,Ġwrist watch
 ache,Ġac he
 appall,Ġapp all
 arouse,Ġa rouse
 astonish,Ġaston ish
 august,Ġaug ust
 biscuit,Ġbisc uit
 bruise,Ġbru ise
 canteen,Ġcant een
 cheque,Ġche que
 cupboard,Ġcup board
 enquiry,Ġenqu iry
 exaggerate,Ġexagger ate
 fluctuation,Ġfluct uation
 grandchild,Ġgrand child
 grandparent,Ġgrand parent
 graze,Ġgra ze
 handicap,Ġhandic ap
 handwrite,Ġhand write
 inhabitant,Ġinhabit ant
 leaflet,Ġleaf let
 learner,Ġlear ner
 loom,Ġlo om
 lorry,Ġl orry
 outsource,Ġout source
 quadrillion,Ġquad r illion
 restructure,Ġrest ructure
 sparkle,Ġspark le
 startle,Ġstart le
 terrace,Ġterr ace
 terrify,Ġterr ify
 tonne,Ġton ne
 tuck,Ġt uck
