Word,file2_col1,file2_col2,file2_col3,file2_col4,file2_col5,file2_col6,file2_col7,file2_col8,file2_col9,file2_col10,file2_col11
finite,finite,,,,,,,,,,
firefighter,firefighter,firefighters,,,,,,,,,
firework,firework,fireworks,,,,,,,,,
fixture,fixture,fixtures,,,,,,,,,
flextime,flextime,,,,,,,,,,
fluent,fluent,,,,,,,,,,
flux,flux,fluxes,fluxed,fluxing,fluxings,,,,,,
flyer,flyer,flyers,,,,,,,,,
fog,fog,fogs,fogged,fogging,foggings,,,,,,
folder,folder,folders,,,,,,,,,
footnote,footnote,footnotes,footnoted,footnoting,footnotings,,,,,,
footwear,footwear,footwears,,,,,,,,,
foreman,foreman,foremen,foremans,,,,,,,,
formulation,formulation,formulations,,,,,,,,,
found,found,founded,founds,founding,foundings,,,,,,
founds,founds,founded,founding,foundings,,,,,,,
fountain,fountain,fountains,fountained,fountaining,fountainings,,,,,,
fracture,fracture,fractures,fractured,fracturing,fracturings,,,,,,
freelance,freelance,freelances,freelanced,freelancing,freelancings,,,,,,
freight,freight,freights,freighted,freighting,freightings,,,,,,
freighter,freighter,freighters,,,,,,,,,
friction,friction,frictions,,,,,,,,,
fundraise,fundraise,fundraises,fundraised,fundraising,fundraisings,,,,,,
fungus,fungus,fungi,,,,,,,,,
garbage,garbage,garbages,,,,,,,,,
gardener,gardener,gardeners,,,,,,,,,
gasoline,gasoline,gasolines,,,,,,,,,
generalization,generalization,generalizations,generalisation,generalisations,,,,,,,
generator,generator,generators,,,,,,,,,
genetically,genetically,,,,,,,,,,
genetics,genetics,,,,,,,,,,
getaway,getaway,getaways,,,,,,,,,
goods,goods,,,,,,,,,,
gradient,gradient,gradients,,,,,,,,,
graduation,graduation,graduations,,,,,,,,,
gram,gram,grams,,,,,,,,,
grammatical,grammatical,grammaticals,,,,,,,,,
gum,gum,gums,gummed,gumming,gummings,,,,,,
gymnasium,gymnasium,gymnasiums,,,,,,,,,
habitual,habitual,habituals,,,,,,,,,
hacker,hacker,hackers,,,,,,,,,
hallway,hallway,hallways,,,,,,,,,
hamburger,hamburger,hamburgers,,,,,,,,,
handbook,handbook,handbooks,,,,,,,,,
handout,handout,handouts,,,,,,,,,
hardworking,hardworking,hardworkings,,,,,,,,,
hawk,hawk,hawks,hawked,hawking,hawkings,,,,,,
hazardous,hazardous,,,,,,,,,,
headphone,headphone,headphones,,,,,,,,,
healthcare,healthcare,,,,,,,,,,
healthful,healthful,,,,,,,,,,
heater,heater,heaters,,,,,,,,,
helix,helix,helixes,helices,,,,,,,,
hepatitis,hepatitis,,,,,,,,,,
herbicide,herbicide,herbicides,,,,,,,,,
hereby,hereby,,,,,,,,,,
hesitant,hesitant,,,,,,,,,,
hesitation,hesitation,hesitations,,,,,,,,,
hiker,hiker,hikers,,,,,,,,,
homemade,homemade,homemades,,,,,,,,,
homeowner,homeowner,homeowners,,,,,,,,,
hotline,hotline,hotlines,,,,,,,,,
hourly,hourly,,,,,,,,,,
housekeep,housekeep,housekeeps,housekept,housekeeping,housekeepings,,,,,,
housekeeper,housekeeper,housekeepers,,,,,,,,,
humidity,humidity,humidities,,,,,,,,,
hygiene,hygiene,,,,,,,,,,
ice cream,ice cream,ice creams,ice-cream,ice-creams,,,,,,,
icy,icy,icier,,,,,,,,,
ideally,ideally,,,,,,,,,,
illogical,illogical,illogicals,,,,,,,,,
impatient,impatient,,,,,,,,,,
inclusive,inclusive,,,,,,,,,,
incoming,incoming,incomings,,,,,,,,,
incomplete,incomplete,,,,,,,,,,
inconvenience,inconvenience,inconveniences,inconvenienced,inconveniencing,inconveniencings,,,,,,
incumbent,incumbent,incumbents,,,,,,,,,
indifference,indifference,indifferences,,,,,,,,,
induction,induction,inductions,,,,,,,,,
industrialization,industrialization,industrializations,industrialisation,industrialisations,,,,,,,
industrialize,industrialize,industrializes,industrialized,industrializing,industrialise,industrialises,industrialised,industrialising,industrialisings,,
inefficient,inefficient,,,,,,,,,,
inexpensive,inexpensive,,,,,,,,,,
inexperience,inexperience,inexperienced,,,,,,,,,
infectious,infectious,,,,,,,,,,
infer,infer,infers,inferred,inferring,inferrings,,,,,,
inference,inference,inferences,,,,,,,,,
inferior,inferior,inferiors,,,,,,,,,
infinite,infinite,,,,,,,,,,
infinity,infinity,infinities,infinitys,,,,,,,,
inflate,inflate,inflates,inflated,inflating,inflatings,,,,,,
informative,informative,,,,,,,,,,
inhibition,inhibition,inhibitions,,,,,,,,,
initiation,initiation,initiations,,,,,,,,,
innate,innate,,,,,,,,,,
inquire,inquire,inquires,inquired,inquiring,inquirings,,,,,,
instability,instability,instabilities,,,,,,,,,
intently,intently,,,,,,,,,,
intern,intern,interns,interned,interning,internings,,,,,,
internationally,internationally,,,,,,,,,,
internet,internet,internets,,,,,,,,,
internship,internship,internships,,,,,,,,,
intersection,intersection,intersections,,,,,,,,,
interviewer,interviewer,interviewers,,,,,,,,,
intonation,intonation,intonations,,,,,,,,,
introductory,introductory,,,,,,,,,,
invaluable,invaluable,invaluables,,,,,,,,,
inversion,inversion,inversions,,,,,,,,,
invert,invert,inverts,inverted,inverting,invertings,,,,,,
ion,ion,ions,,,,,,,,,
irregular,irregular,irregulars,,,,,,,,,
irrigation,irrigation,irrigations,,,,,,,,,
itinerary,itinerary,itineraries,,,,,,,,,
jog,jog,jogs,jogged,jogging,joggings,,,,,,
kilogram,kilogram,kilograms,,,,,,,,,
knowledgeable,knowledgeable,knowledgeables,,,,,,,,,
lateral,lateral,laterals,,,,,,,,,
laundry,laundry,laundries,,,,,,,,,
layoff,layoff,layoffs,,,,,,,,,
lecturer,lecturer,lecturers,,,,,,,,,
letterhead,letterhead,letterheads,,,,,,,,,
lever,lever,levers,levered,levering,leverings,,,,,,
lexical,lexical,lexicals,,,,,,,,,
librarian,librarian,librarians,,,,,,,,,
lifeguard,lifeguard,lifeguards,,,,,,,,,
lighter,lighter,lighters,,,,,,,,,
lightweight,lightweight,lightweights,,,,,,,,,
linguistics,linguistics,,,,,,,,,,
liter,liter,liters,litres,litre,,,,,,,
locker,locker,lockers,,,,,,,,,
locus,locus,locuses,loci,,,,,,,,
login,login,logins,log in,logs in,logged in,logging in,loggings in,,,,
logo,logo,logos,,,,,,,,,
longitudinal,longitudinal,longitudinals,,,,,,,,,
loudly,loudly,,,,,,,,,,
luncheon,luncheon,luncheons,,,,,,,,,
lunchtime,lunchtime,lunchtimes,,,,,,,,,
ma'am,ma'am,ma'ams,,,,,,,,,
malfunction,malfunction,malfunctions,malfunctioned,malfunctioning,malfunctionings,,,,,,
managerial,managerial,managerials,,,,,,,,,
marrow,marrow,marrows,,,,,,,,,
massage,massage,massages,massaged,massaging,massagings,,,,,,
media,media,,,,,,,,,,
mediate,mediate,mediates,mediated,mediating,mediatings,,,,,,
memorandum,memorandum,memorandums,memoranda,,,,,,,,
memorize,memorize,memorizes,memorized,memorizing,memorise,memorises,memorised,memorising,memorisings,,
merchandise,merchandise,merchandises,merchandised,merchandising,merchandisings,merchandize,merchandizes,merchandized,merchandizing,merchandizings,
mercury,mercury,,,,,,,,,,
messenger,messenger,messengers,,,,,,,,,
metabolism,metabolism,metabolisms,,,,,,,,,
micro,micro,,,,,,,,,,
microscope,microscope,microscopes,,,,,,,,,
microwave,microwave,microwaves,microwaved,microwaving,microwavings,,,,,,
migrate,migrate,migrates,migrated,migrating,migratings,,,,,,
mileage,mileage,mileages,,,,,,,,,
millimeter,millimeter,millimeters,millimetres,millimetre,,,,,,,
mini,mini,,,,,,,,,,
misidentify,misidentify,misidentifies,misidentified,misidentifying,misidentifyings,,,,,,
misplace,misplace,misplaces,misplaced,misplacing,misplacings,,,,,,
mister,mister,misters,mr,Mister,Misters,Mr,,,,,
modem,modem,modems,,,,,,,,,
mole,mole,moles,,,,,,,,,
morphological,morphological,morphologicals,,,,,,,,,
morphology,morphology,morphologies,,,,,,,,,
mosquito,mosquito,mosquitos,mosquitoe,mosquitoes,,,,,,,
motif,motif,motifs,,,,,,,,,
motorcycle,motorcycle,motorcycles,,,,,,,,,
mower,mower,mowers,,,,,,,,,
multi,multi,,,,,,,,,,
mutation,mutation,mutations,,,,,,,,,
nap,nap,naps,napped,napping,nappings,,,,,,
nationalism,nationalism,nationalisms,,,,,,,,,
necklace,necklace,necklaces,necklaced,necklacing,necklacings,,,,,,
needy,needy,needier,neediest,,,,,,,,
neo,neo,,,,,,,,,,
neural,neural,neurals,,,,,,,,,
neuron,neuron,neurons,neurone,neurones,,,,,,,
newsletter,newsletter,newsletters,,,,,,,,,
newsstand,newsstand,newsstands,,,,,,,,,
niche,niche,nich�,niches,nich�s,,,,,,,
nitrogen,nitrogen,nitrogens,,,,,,,,,
nominal,nominal,nominals,,,,,,,,,
nonlinear,nonlinear,nonlinears,,,,,,,,,
notation,notation,notations,,,,,,,,,
novice,novice,novices,,,,,,,,,
null,null,nulls,nulled,nulling,nullings,,,,,,
numerical,numerical,numericals,,,,,,,,,
nutrition,nutrition,,,,,,,,,,
o'clock,o'clock,o'clocks,o clock,o clocks,oclock,oclocks,,,,,
obligate,obligate,obligated,obligating,obligates,,,,,,,
occupancy,occupancy,occupancies,,,,,,,,,
occupant,occupant,occupants,,,,,,,,,
onwards,onwards,,,,,,,,,,
optical,optical,opticals,,,,,,,,,
optimum,optimum,,,,,,,,,,
optional,optional,optionals,,,,,,,,,
oscillation,oscillation,oscillations,,,,,,,,,
outage,outage,outages,,,,,,,,,
outdate,outdate,outdates,outdated,outdating,outdatings,,,,,,
oval,oval,ovals,,,,,,,,,
overcharge,overcharge,overcharges,overcharged,overcharging,overchargings,,,,,,
overcrowd,overcrowd,overcrowds,overcrowded,overcrowding,overcrowdings,,,,,,
overdue,overdue,,,,,,,,,,
overpay,overpay,overpaid,overpaying,overpays,,,,,,,
overtime,overtime,,,,,,,,,,
oxidize,oxidize,oxidizes,oxidized,oxidizing,oxidizings,oxidise,oxidises,oxidised,oxidising,oxidisings,
pamphlet,pamphlet,pamphlets,,,,,,,,,
paperback,paperback,paperbacks,,,,,,,,,
paperwork,paperwork,paperworks,,,,,,,,,
paradox,paradox,paradoxes,,,,,,,,,
paralegal,paralegal,paralegals,,,,,,,,,
paraphrase,paraphrase,paraphrases,paraphrased,paraphrasing,paraphrasings,,,,,,
parenthesis,parenthesis,parentheses,,,,,,,,,
partition,partition,partitions,partitioned,partitioning,partitionings,,,,,,
password,password,passwords,,,,,,,,,
pasta,pasta,pastas,,,,,,,,,
pastry,pastry,pastries,,,,,,,,,
payable,payable,payables,,,,,,,,,
paycheck,paycheck,paychecks,,,,,,,,,
payroll,payroll,payrolls,,,,,,,,,
pedestrian,pedestrian,pedestrians,,,,,,,,,
penalize,penalize,penalizes,penalized,penalizing,penalise,penalises,penalised,penalising,penalisings,,
periodic,periodic,periodics,,,,,,,,,
periodical,periodical,periodicals,,,,,,,,,
periodically,periodically,,,,,,,,,,
personalize,personalize,personalizes,personalized,personalizing,personalise,personalises,personalised,personalising,personalisings,,
pest,pest,pests,,,,,,,,,
pesticide,pesticide,pesticides,,,,,,,,,
pharmacist,pharmacist,pharmacists,,,,,,,,,
pharmacy,pharmacy,pharmacies,,,,,,,,,
phenomenal,phenomenal,phenomenals,,,,,,,,,
phonological,phonological,phonologicals,,,,,,,,,
phosphate,phosphate,phosphates,,,,,,,,,
photocopier,photocopier,photocopiers,,,,,,,,,
photocopy,photocopy,photocopies,photocopied,photocopying,photocopyings,,,,,,
photographic,photographic,photographics,,,,,,,,,
physiological,physiological,physiologicals,,,,,,,,,
pi,pi,,,,,,,,,,
plantation,plantation,plantations,,,,,,,,,
plausible,plausible,plausibles,,,,,,,,,
plumber,plumber,plumbers,,,,,,,,,
plural,plural,plurals,,,,,,,,,
polar,polar,polars,,,,,,,,,
popcorn,popcorn,,,,,,,,,,
portrayal,portrayal,portrayals,,,,,,,,,
postage,postage,postages,,,,,,,,,
postal,postal,postals,,,,,,,,,
postgraduate,postgraduate,postgraduates,,,,,,,,,
potassium,potassium,,,,,,,,,,
pottery,pottery,potteries,,,,,,,,,
pre,pre,,,,,,,,,,
